# Filename: profiles_2015.csv
id|filepath|name|date|dob|city|country|height|weight|occupation
1|/home/comp141/profile_system/pictures/904293.png|Chozen Aurelio|2011/7/12|1994/11/15|Austin|China|189|66|Artist
2|/home/comp141/profile_system/pictures/389738.png|Stanley Ian|2009/6/18|1989/7/7|Las Vegas|UK|169|92|Analyst
3|/home/comp141/profile_system/pictures/198344.png|Zechariah Miles|2013/9/17|1999/1/21|Phoenix|Australia|189|73|Designer
4|/home/comp141/profile_system/pictures/474606.png|Kobe Jayce|2015/10/1|1994/9/14|Miami|South Africa|187|79|Pilot
5|/home/comp141/profile_system/pictures/624930.png|Brayden Tate|2012/10/8|2000/4/8|Seattle|Australia|190|104|Pilot
6|/home/comp141/profile_system/pictures/320968.png|Odin Yusuf|2011/10/5|1994/7/23|Austin|USA|188|95|Artist
7|/home/comp141/profile_system/pictures/462865.png|Zeke Kaleb|2007/10/17|1998/10/12|Las Vegas|USA|176|74|Photographer
8|/home/comp141/profile_system/pictures/224834.png|Sage Maverick|2008/9/11|1983/6/26|Denver|India|189|70|Engineer
9|/home/comp141/profile_system/pictures/290354.png|Nelson Drew|2011/6/27|1997/9/10|Denver|India|191|75|Consultant
10|/home/comp141/profile_system/pictures/538904.png|Stanley Foster|2008/10/21|1994/3/5|New York|USA|165|97|Teacher
11|/home/comp141/profile_system/pictures/460811.png|Aziel Izan|2013/9/22|1987/10/16|Austin|Indonesia|174|95|Designer
12|/home/comp141/profile_system/pictures/391700.png|Enoch Benjamin|2006/6/4|1986/3/22|Boston|South Africa|193|103|Artist
13|/home/comp141/profile_system/pictures/035616.png|Tyler Mason|2013/9/9|1990/4/22|San Francisco|UK|190|63|Teacher
14|/home/comp141/profile_system/pictures/691782.png|Joel Jerry|2010/1/10|1995/11/27|Boston|Canada|194|80|Photographer
15|/home/comp141/profile_system/pictures/939497.png|Allen Chozen|2014/3/3|1998/2/21|Seattle|Indonesia|181|109|Photographer
16|/home/comp141/profile_system/pictures/132468.png|Koen Yahya|2011/5/24|none|Miami|none|180|none|Teacher
17|/home/comp141/profile_system/pictures/146053.png|Ricardo Casey|2012/8/4|1994/4/8|New York|Chile|161|107|Photographer
18|/home/comp141/profile_system/pictures/315313.png|Baylor Logan|2007/3/25|1994/10/6|San Francisco|Peru|192|84|Consultant
19|/home/comp141/profile_system/pictures/619904.png|Silas Ronin|2009/11/22|1993/7/26|Seattle|Germany|187|105|Architect
20|/home/comp141/profile_system/pictures/147919.png|Ronin Messiah|2012/11/15|1991/11/8|Las Vegas|South Africa|170|72|Analyst
21|/home/comp141/profile_system/pictures/218914.png|Imran Ahmed|2006/10/9|2000/4/11|Denver|UK|189|95|Architect
22|/home/comp141/profile_system/pictures/036743.png|Weston Samuel|2015/4/2|1985/9/14|San Francisco|Indonesia|186|106|Nurse
23|/home/comp141/profile_system/pictures/379733.png|Callan Julian|2014/6/27|1989/4/8|Austin|Germany|185|102|Nurse
24|/home/comp141/profile_system/pictures/253357.png|Kane Jimmy|2009/7/17|1988/3/27|San Francisco|France|167|58|Pilot
